OBT:001255	food processing factory	Food processing factory	-27	ENVO:00003863
OBT:000069	field	agricultural field	-27	ENVO:00000114
OBT:001799	livestock	livestock-associated habitat	-27	ENVO:02000005
OBT:000163	needle	hypodermic needle	-27	ENVO:02000000
OBT:001697	freshwater	Fresh water	-27	ENVO:00002011
OBT:000342	hydrothermal vent	Hydrothermal vent	-27	ENVO:00000215
OBT:000078 	marine environment	Marine environment	-27	ENVO:01000320
OBT:001495	saline water	Saline water	-27	ENVO:00002010
OBT:000034	volcanic area	Volcanic field	-27	ENVO:00000354
OBT:000134	acid environment	acidic environment	-27	ENVO:01000315
OBT:000012	agricultural habitat	cultivated environment	-27	ENVO:01000311
OBT:000057	environmental matter	environmental material	-27	ENVO:00010483
OBT:000038	extreme environment	extreme habitat	-27	ENVO:00002020
OBT:000052	hospital environment	hospital	-27	ENVO:00002173
OBT:000197	organic matter	organic material	-27	ENVO:01000155
OBT:000843 	power plant	power plant	-27	ENVO:00002214
OBT:000558	processed food	processed food product	-27	ENVO:0010092
OBT:000048	subterrestrial habitat	subterrestrial habitat	-27	ENVO:00000572
OBT:000049	terrestrial habitat	terrestrial habitat	-27	ENVO:00002009
OBT:000504	animal product and primary derivative thereof	animal food product	-27	ENVO:0010000
OBT:000418	plant product and primary derivative thereof	plant food product	-27	ENVO:00002216
OBT:000068	farm	farm	-27	ENVO:00000078
OBT:000133	soil	Soil	-27	ENVO:00001998
OBT:000703 	feces	feces	-27	ENVO:00002003
OBT:000059	air	air	-27	ENVO:00002005
OBT:000704	sediment	Sediment	-27	ENVO:00002007
OBT:000037	biofilm	Biofilm	-27	ENVO:00002034
OBT:000853	warehouse	warehouse	-27	ENVO:00003963
OBT:000030	aerosol	Aerosol	-27	ENVO:00010505
OBT:000314	excreta	excreta	-27	ENVO:02000022
OBT:000309	chyme	chyme	-27	ENVO:02000026
OBT:000064	aquatic environment	Aquatic environment	-27	ENVO:01000317
OBT:001496	brackish water	Brackish water	-27	ENVO:00002019
OBT:000019	animal feed	animal feed	-27	ENVO:02000047
OBT:000030	aerosol	aerosol	-27	ENVO:00010505
OBT:000037	biofilm	biofilm	-27	ENVO:00002034
OBT:000058	fish pond	fish pond	-27	ENVO:00000056
OBT:000064	aquatic environment	aquatic environment	-27	ENVO:01000317
OBT:000071	bioreactor	bioreactor	-27	ENVO:00002123
OBT:000078	marine environment	marine environment	-27	ENVO:01000320
OBT:000130	solfatara	solfatara	-27	ENVO:00000217
OBT:000131	endolithic environment	endolithic environment	-27	ENVO:01000303
OBT:000133	soil	soil	-27	ENVO:00001998
OBT:000135	alkaline environment	alkaline environment	-27	ENVO:01000316
OBT:000136	high pressure environment	high pressure environment	-27	ENVO:01000304
OBT:000137	haline environment	haline environment	-27	ENVO:01000310
OBT:000138	high temperature environment	high temperature environment	-27	ENVO:01000305
OBT:000140	high osmolarity environment	high osmolarity environment	-27	ENVO:01000314
OBT:000141	aerobic bioreactor	aerobic bioreactor	-27	ENVO:00002126
